vidid,ad_view
VID_2240,2
VID_8114,6
VID_13586,20
VID_2784,48
VID_1539,7857
VID_6787,25
VID_11544,55
VID_5296,57
VID_5684,6
VID_7467,1
VID_5869,105
VID_19596,5
VID_96,2714
VID_859,16
VID_13559,52
VID_20976,30
VID_18524,29074
VID_3089,8
VID_4453,32
VID_15802,75
VID_18291,1287
VID_3914,19
VID_10582,30
VID_11482,6
VID_615,3
VID_19069,20
VID_911,3
VID_3308,2118
VID_5668,5
VID_16402,1046
VID_19375,891
VID_8556,321
VID_19966,3049
VID_17274,685
VID_407,2
VID_23383,4
VID_6105,1
VID_2643,8
VID_18875,930
VID_13188,629
VID_13504,63
VID_17900,2825
VID_6368,23
VID_19648,30
VID_23490,7
VID_9098,546
VID_12973,211
VID_15207,101
VID_17033,62
VID_21758,43
VID_21628,330
VID_3935,4972
VID_5670,44
VID_13844,9434
VID_20416,4
VID_19885,45
VID_15487,8196
VID_9890,244
VID_17721,11
VID_2585,1769
VID_19723,7043
VID_22716,57
VID_10004,235
VID_1529,44
VID_8126,2
VID_4224,3
VID_22704,2022
VID_10705,25
VID_10524,7
VID_1133,6
VID_3404,6
VID_20344,4
VID_9397,121
VID_20601,30
VID_9482,3
VID_6673,7
VID_3899,176
VID_7008,2
VID_2690,7
VID_7483,1
VID_1614,281
VID_241,2
VID_13499,1958
VID_11734,414
VID_18937,460
VID_11906,36
VID_11525,13
VID_4199,703
VID_19984,354
VID_15743,30
VID_23097,61
VID_16716,16
VID_6805,485
VID_6552,3
VID_269,7786
VID_13646,541
VID_10761,44
VID_16502,3962
VID_10352,10
VID_10226,23
VID_23493,18413
VID_734,252
VID_5364,12
VID_5122,48
VID_2104,643
VID_5143,193
VID_3850,19
VID_23633,7
VID_19158,27
VID_23597,4
VID_5716,24
VID_23516,160
VID_12921,47
VID_17949,6
VID_8164,8
VID_2097,5
VID_10400,12
VID_998,2410
VID_11447,812
VID_7866,3
VID_11664,5
VID_7094,97
VID_19536,958
VID_13747,106
VID_6307,37
VID_2424,1121
VID_6363,8
VID_1524,1664
VID_20772,12
VID_23466,4
VID_10752,87
VID_4918,3
VID_23046,23
VID_6694,2
VID_4646,3
VID_17016,2273
VID_11145,29
VID_12387,868
VID_22126,31
VID_17930,194
VID_12268,23
VID_5192,5
VID_16369,377
VID_11841,376
VID_13926,43
VID_5622,670
VID_5346,7
VID_10544,10
VID_6622,1353
VID_17583,12
VID_13876,88
VID_1033,25
VID_10998,8955
VID_7037,1891
VID_22495,19
VID_13170,3
VID_7480,7
VID_13753,2997
VID_13831,12
VID_17763,1
VID_2793,241
VID_20514,1068
VID_22850,1312
VID_3953,7
VID_2434,678
VID_13670,613
VID_12368,2
VID_19664,1736
VID_4173,15
VID_15859,396
VID_14717,274
VID_18425,46
VID_5232,286
VID_6288,159
VID_7433,1
VID_1003,169
VID_13060,7
VID_15297,2709
VID_9730,201
VID_19022,1622
VID_1885,2060
VID_7425,1
VID_20867,21
VID_2501,106
VID_19822,32
VID_10604,26
VID_18763,552
VID_1818,22
VID_16644,21722
VID_7528,1
VID_8166,961
VID_22357,1473
VID_3918,31
VID_10589,804
VID_3027,1294
VID_23607,7
VID_9153,1794
VID_291,5517
VID_8213,660
VID_9424,10
VID_19769,71
VID_22910,4423
VID_14626,6
VID_2363,4574
VID_5125,13
VID_16291,94
VID_14392,3
VID_1036,45
VID_14153,248
VID_13506,7
VID_6149,18
VID_2777,143
VID_19018,3087
VID_8497,3
VID_21395,244
VID_7117,180
VID_21328,10984
VID_7710,1585
VID_17750,242
VID_1680,6682
VID_4028,33
VID_20481,371
VID_8880,28
VID_21640,2286
VID_13074,7
VID_8763,15
VID_3983,65
VID_432,4562
VID_14174,633
VID_23234,4
VID_23704,162
VID_5492,7810
VID_6329,9
VID_3504,16
VID_5758,3529
VID_4794,13
VID_20788,205
VID_5213,490
VID_6785,7
VID_11456,155
VID_22729,5469
VID_9741,30
VID_16684,1032
VID_11853,652
VID_3598,3
VID_6772,2
VID_2469,76
VID_2206,41
VID_6843,453
VID_10634,18
VID_8040,2704
VID_12369,2
VID_2693,142
VID_11067,10
VID_11520,63
VID_2821,11
VID_3038,617
VID_11250,3359
VID_22710,1696
VID_11733,3
VID_7363,56
VID_23723,8802
VID_11688,989
VID_6034,48
VID_22123,4818
VID_20388,3532
VID_6503,2468
VID_15018,7
VID_22601,112
VID_3210,12
VID_11450,2
VID_1040,23859
VID_13938,45
VID_20462,221
VID_22043,11
VID_23262,25
VID_13502,1703
VID_13855,1740
VID_1368,79
VID_9381,42
VID_12394,725
VID_19290,1194
VID_5050,9
VID_23326,379
VID_5262,3
VID_23088,346
VID_13259,108
VID_13056,1010
VID_17553,11
VID_5220,70
VID_16497,1824
VID_17882,62
VID_14613,929
VID_600,109
VID_19476,451
VID_814,110
VID_21709,1891
VID_23117,1814
VID_22461,311
VID_5566,870
VID_3407,3
VID_5958,9
VID_15941,10
VID_11387,506
VID_11741,849
VID_70,401
VID_20781,755
VID_11832,46
VID_1723,26
VID_6240,4
VID_8963,7
VID_14121,69
VID_7960,93
VID_14523,90
VID_20941,123
VID_23728,136
VID_17575,34
VID_13353,8
VID_18877,431
VID_19283,5181
VID_19494,13
VID_12311,6
VID_21019,544
VID_23343,196
VID_16495,2136
VID_2932,3216
VID_21207,78
VID_12004,34
VID_11129,7
VID_15892,6
VID_5645,20
VID_8615,39491
VID_20982,1487
VID_12201,2211
VID_20427,9
VID_17217,8
VID_1642,21
VID_11516,1153
VID_23022,3031
VID_7142,41
VID_9909,447
VID_9529,6
VID_22664,4847
VID_435,4225
VID_15960,485
VID_12952,20311
VID_21100,8
VID_23229,36207
VID_10906,1
VID_2945,37
VID_10393,27
VID_11026,7
VID_13865,5
VID_13079,19
VID_20285,256
VID_22600,129
VID_15248,453
VID_12096,868
VID_12609,6
VID_21464,64
VID_2568,4112
VID_18864,256
VID_3347,3
VID_15238,14
VID_17746,71
VID_20055,478
VID_7138,136
VID_5665,3
VID_8130,3
VID_14441,1
VID_8693,39
VID_12944,4506
VID_3446,25
VID_2862,3760
VID_5671,9
VID_8484,7358
VID_5596,423
VID_15925,770
VID_18290,7200
VID_4102,220
VID_18762,289
VID_49,21
VID_19899,16
VID_6311,8
VID_9972,3
VID_12965,1660
VID_12420,589
VID_7547,307
VID_21893,8
VID_21819,923
VID_20945,25
VID_3359,6
VID_1671,174
VID_7479,192
VID_12766,256
VID_8145,2
VID_13652,1394
VID_21627,379
VID_472,35
VID_16667,479
VID_20187,361
VID_18033,3
VID_1061,217
VID_3719,96
VID_14470,5
VID_430,5191
VID_22153,9222
VID_19285,1952
VID_8843,187
VID_11084,959
VID_1246,60
VID_22180,11
VID_3111,14
VID_7313,2
VID_23081,832
VID_10020,148
VID_5656,44
VID_15080,2
VID_18949,1
VID_10056,206
VID_17696,548
VID_23304,4
VID_22199,68
VID_4851,709
VID_3917,596
VID_6859,130
VID_21622,224
VID_20987,21
VID_20279,2
VID_12069,197
VID_3742,6
VID_5130,4
VID_3029,606
VID_23673,28
VID_9586,19
VID_11637,928
VID_15344,3826
VID_12885,19
VID_4096,385
VID_4138,837
VID_12864,28
VID_5340,1
VID_11542,834
VID_18608,85
VID_15189,145
VID_22317,59
VID_22385,133
VID_10936,2449
VID_11519,108
VID_12576,3
VID_20918,1300
VID_17112,66817
VID_2396,3
VID_3125,5
VID_9058,5
VID_5939,130
VID_7593,121
VID_4754,25
VID_2974,12
VID_3590,19
VID_3600,4
VID_8459,6385
VID_4543,8982
VID_12434,4
VID_12167,82
VID_1322,1266
VID_19409,203
VID_10523,15
VID_4457,15
VID_19478,592
VID_20828,8
VID_10775,1
VID_12091,13
VID_14378,3
VID_1418,12805
VID_12458,1193
VID_15357,9
VID_3555,6
VID_19662,4364
VID_9393,968
VID_19125,110
VID_17044,88
VID_14112,5
VID_22607,1480
VID_9508,655
VID_18141,304
VID_13392,6
VID_6306,4
VID_16298,4
VID_5832,109
VID_20852,1529
VID_2052,7
VID_11283,99
VID_20392,10679
VID_22108,4114
VID_3064,104
VID_4482,600
VID_11672,1948
VID_3301,1062
VID_20106,359
VID_16205,68
VID_9532,105
VID_11294,10
VID_12690,6
VID_21059,212
VID_2388,534
VID_17405,16
VID_3099,602
VID_20770,6
VID_17262,6
VID_4476,3671
VID_1163,5012
VID_22777,311
VID_21090,398
VID_6598,2781
VID_5743,32
VID_21253,8
VID_20611,289
VID_1089,1076
VID_4371,142
VID_17003,439
VID_18424,4
VID_1222,52
VID_6479,7
VID_13563,4
VID_12946,22
VID_8437,2
VID_21515,5419
VID_14775,92
VID_17802,307
VID_8274,260
VID_23680,48
VID_6005,545
VID_23105,454
VID_9956,3077
VID_6750,409
VID_16401,718
VID_23075,50
VID_14863,541
VID_19341,17
VID_19522,2017
VID_7749,4
VID_17107,959
VID_12774,1050
VID_8974,4329
VID_11208,6
VID_6781,2168
VID_2411,11
VID_8384,22
VID_21496,4541
VID_18389,4523
VID_18660,22542
VID_1547,30
VID_1065,8
VID_7387,1782
VID_11746,580
VID_7133,2
VID_17890,134
VID_12710,14
VID_4806,11
VID_1976,3758
VID_13114,3
VID_19933,10
VID_8961,4
VID_4436,52
VID_11471,246
VID_6393,12
VID_8690,27
VID_1266,188
VID_10199,9
VID_16287,227
VID_11285,333
VID_22078,9
VID_22632,2
VID_17811,121
VID_308,569
VID_8559,213
VID_13391,248
VID_23733,2
VID_12814,152
VID_7783,3
VID_11619,369
VID_4950,181
VID_17844,7860
VID_15758,555
VID_20079,166
VID_10069,7621
VID_15577,207
VID_9911,515
VID_17668,69
VID_22412,2470
VID_20668,656
VID_5469,872
VID_3477,5
VID_15324,8
VID_11267,27894
VID_8597,11
VID_14548,7
VID_1194,20107
VID_5600,186
VID_714,22
VID_15462,13
VID_17243,11
VID_2432,73
VID_12784,2124
VID_4755,49726
VID_12103,24
VID_5452,89
VID_1077,1912
VID_13656,208
VID_23047,51
VID_2692,4
VID_20623,5
VID_19418,31
VID_22232,45
VID_6574,5
VID_7327,21
VID_13579,12
VID_14575,31
VID_5813,4
VID_15008,3
VID_575,17
VID_20939,7667
VID_1973,6405
VID_6371,123
VID_14854,23
VID_14833,719
VID_21299,7
VID_16915,1153
VID_6309,14
VID_10230,448
VID_17533,69
VID_13445,9
VID_20091,249
VID_14734,12
VID_990,2970
VID_1433,998
VID_17335,9
VID_9492,62671
VID_16368,5
VID_21194,339
VID_7536,126
VID_11647,191
VID_22540,12
VID_12919,5
VID_8573,43
VID_332,454
VID_23679,983
VID_6675,9
VID_6431,154
VID_12138,3336
VID_14674,447
VID_9043,16
VID_1427,1882
VID_10326,366
VID_6121,8
VID_20413,7
VID_19785,10
VID_12681,1
VID_20531,993
VID_6356,7
VID_3790,19
VID_6591,3
VID_1798,306
VID_409,5
VID_11941,463
VID_22788,129
VID_9094,3
VID_7071,345
VID_3436,32
VID_20475,930
VID_22614,323
VID_15108,15
VID_7007,1086
VID_18260,7100
VID_10317,451
VID_21914,124
VID_8034,4289
VID_9624,15
VID_9860,45
VID_609,176
VID_9013,35
VID_15684,4856
VID_11353,333
VID_23124,3
VID_7717,812
VID_12993,3
VID_390,9070
VID_2574,520
VID_9826,283
VID_20411,236
VID_13748,1836
VID_22008,1553
VID_23133,14
VID_18461,8
VID_13349,1
VID_8256,444
VID_10201,98
VID_773,31859
VID_11020,1118
VID_12745,9
VID_19425,52
VID_12029,1480
VID_1907,78
VID_22849,890
VID_2714,401
VID_19918,149
VID_6134,4
VID_5853,31
VID_10963,9
VID_8466,43
VID_14189,3
VID_13934,1
VID_5932,54
VID_15673,4
VID_7804,2
VID_3722,426
VID_19906,65
VID_3043,5
VID_1513,283
VID_2110,880
VID_17568,55
VID_11373,8
VID_22316,170
VID_15689,66
VID_22380,2225
VID_6587,8
VID_7533,54
VID_15710,16
VID_821,463
VID_13807,28
VID_12586,4
VID_7625,2285
VID_22652,57
VID_9901,3996
VID_21380,659
VID_7879,2
VID_15339,11
VID_10163,2175
VID_20937,3211
VID_21929,273
VID_19609,2442
VID_64,4090
VID_17238,863
VID_9551,74
VID_9804,5
VID_4537,6
VID_10869,69
VID_22949,1627
VID_7384,192
VID_15761,3
VID_3571,9
VID_8563,90
VID_16120,212
VID_11440,970
VID_3480,24
VID_4673,2
VID_4063,17
VID_16045,384
VID_2318,9
VID_21811,889
VID_685,4
VID_18512,1292
VID_21188,1853
VID_16896,2
VID_4347,501
VID_2525,852
VID_20174,10
VID_7525,2
VID_6181,26
VID_8939,2
VID_6809,163
VID_16279,125
VID_2836,773
VID_19921,6
VID_10241,186
VID_5180,161
VID_7716,345
VID_5583,31
VID_12564,9
VID_2866,932
VID_3702,6
VID_10224,294
VID_19132,269
VID_16745,127
VID_9703,5
VID_9081,34
VID_14978,2
VID_20905,1311
VID_18935,54
VID_21108,3358
VID_18493,4
VID_8814,2
VID_7192,48
VID_7355,189
VID_2617,201
VID_22856,81
VID_2794,1275
VID_3468,3
VID_17472,881
VID_13767,234
VID_17302,29
VID_22238,72
VID_23200,63
VID_14721,1
VID_13902,108
VID_2880,2660
VID_23371,1
VID_13147,35
VID_16856,2
VID_7893,2
VID_4230,160
VID_9663,107
VID_22068,7
VID_3623,651
VID_14520,1
VID_3215,23
VID_12263,10
VID_20214,29
VID_2926,1209
VID_13776,3
VID_16270,1170
VID_1102,11
VID_2656,10
VID_17831,3
VID_17518,14
VID_20006,100
VID_4357,1
VID_5530,41
VID_2286,736
VID_3113,125
VID_2569,1869
VID_17384,3930
VID_14754,385
VID_12427,3162
VID_7113,7
VID_10799,11
VID_6332,53
VID_13405,241
VID_4411,8
VID_5731,9
VID_16584,134
VID_4568,58
VID_3575,2
VID_15944,2452
VID_15417,1031
VID_5761,8
VID_11243,3
VID_362,1796
VID_8932,4
VID_22733,74
VID_793,435
VID_10956,28210
VID_4422,3
VID_10549,7
VID_3939,672
VID_19790,139
VID_18850,2784
VID_13900,974
VID_14794,1
VID_19774,62
VID_12857,812
VID_17928,1353
VID_3372,4
VID_15175,137
VID_4571,822
VID_7559,2
VID_21354,46
VID_10061,146
VID_7537,3
VID_3488,26
VID_13611,420
VID_6878,41
VID_4973,31
VID_13113,1
VID_5266,192
VID_4629,20
VID_11240,127
VID_20165,10
VID_6081,67
VID_16533,134
VID_15917,12532
VID_9570,129
VID_11907,34
VID_23040,412
VID_23418,5
VID_3402,15
VID_784,151
VID_9459,169
VID_14437,5
VID_11004,2003
VID_18896,714
VID_10256,75
VID_17618,252
VID_22331,1088
VID_3752,467
VID_12128,452
VID_5781,10
VID_22852,44
VID_3982,126
VID_12789,907
VID_10045,6
VID_16750,11891
VID_4877,2
VID_21679,420
VID_4105,2605
VID_10655,13
VID_17768,4
VID_2849,29
VID_3663,367
VID_4544,8
VID_2207,3863
VID_7078,2078
VID_13144,61
VID_4884,8
VID_852,39
VID_12131,3760
VID_16562,7319
VID_9009,16
VID_13487,2
VID_14576,3
VID_16832,37
VID_17985,13
VID_21569,17
VID_4951,75
VID_18135,1034
VID_1962,24
VID_23091,275
VID_23077,9
VID_9672,2
VID_20332,2087
VID_4113,7
VID_6555,364
VID_6209,1
VID_23570,324
VID_14917,35
VID_17109,58212
VID_6136,96
VID_3040,1253
VID_9886,977
VID_18657,3958
VID_2394,4
VID_1352,2002
VID_8297,2
VID_10112,408
VID_4262,1
VID_10461,419
VID_1952,11784
VID_10504,931
VID_10590,7
VID_18256,612
VID_19145,40
VID_20784,380
VID_448,4984
VID_6293,166
VID_4462,15
VID_6650,22
VID_11002,781
VID_17404,36
VID_2118,1963
VID_3642,6
VID_7963,2
VID_1340,23
VID_6769,27
VID_23631,76
VID_21726,3
VID_11721,967
VID_1553,34422
VID_541,1419
VID_2429,7108
VID_13505,10
VID_23404,486
VID_6298,2
VID_13722,573
VID_19086,8
VID_19421,5
VID_3997,1
VID_5230,13
VID_14597,2102
VID_22282,2156
VID_3986,109
VID_13078,157
VID_5677,8
VID_7886,1
VID_20821,5163
VID_13253,14
VID_3632,1564
VID_15975,17
VID_22577,3527
VID_15223,4
VID_11245,4379
VID_1802,41
VID_7434,2
VID_11313,88
VID_2900,1093
VID_106,1995
VID_9784,10564
VID_15561,50
VID_20893,2514
VID_4174,31
VID_1295,730
VID_701,3
VID_13718,1490
VID_15384,680
VID_7332,1344
VID_21757,19218
VID_16022,137
VID_16236,217
VID_4337,13
VID_20636,2288
VID_639,3
VID_3511,6
VID_5508,12
VID_6281,1
VID_15053,5
VID_3435,8
VID_8616,6060
VID_14044,30412
VID_6493,2
VID_3158,8
VID_10253,5
VID_3001,370
VID_20951,6
VID_5750,1297
VID_11466,7
VID_9642,1372
VID_15556,580
VID_14167,324
VID_16180,113
VID_5456,7
VID_926,361
VID_16685,186
VID_14228,637
VID_14720,56
VID_18717,2426
